,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
81,Fiction,김남일,Kim Nam-il,Times When I Was Reading Crab Canning Ship, ,"Storytelling Asia, V.7 No.3",Asia Publishing Co,2012.0,Kim Nam il/Kim Nam-il
82,Fiction,김남일,Kim Nam-il,"Work, Food And Freedom",Dahee Kim,Reading Korea: 12 Contemporary Stories,ANVIL Publishing,2008.0,Kim Nam il/Kim Nam-il
83,Fiction,김남천,Kim Nam-cheon, ,Jenny Wang Medina,After Beating Your Wife,Literature Translation Institute of Korea*,2013.0,Kim Nam cheon/Kim Nam-cheon
84,Fiction,김남천,Kim Namchon, ,Sunyoung Park,Barley : Volume 104,Asia publishers,2015.0,Kim Namchon
85,Fiction,김남천,Kim Nam-cheon, ,Jenny Wang Medina,Management,Literature Translation Institute of Korea*,2013.0,Kim Nam cheon/Kim Nam-cheon
86,Fiction,김남천,Kim Namcheon, ,Charles La Shure,Scenes From The Enlightenment,Dalkey Archive Press,2014.0,Kim Namcheon
87,Fiction,김남천,Kim Namch'on,Barley,Sunyoung Park,On The Eve Of The Uprising And Other Stories From Colonial Korea,Cornell Univ. East Asia Program,2010.0,Kim Namch'on
88,Fiction,김남천,Kim Nam-chʻŏn,The Factory Newspaper,Young-Ji Kang,"Acta Koreana, V.13 No.1 P.135-145",Academia Koreana,2010.06,Kim Nam ch`on/Kim Nam-ch`on/Kim Nam-chʻŏn
89,Fiction,김남천,Kim Nam-chʻŏn,"The Factory Newspaper (Kongjang Sinmun, 1931)",Young-Ji Kang,Rat Fire: Korean Stories From The Japanese Empire,Cornell East Asia Series,2013.0,Kim Nam ch`on/Kim Nam-ch`on/Kim Nam-chʻŏn
90,Fiction,김내성,Kim Naesŏng,The Oval Mirror (1935),Quillon Arkenstone,"Acta Koreana, V.23 No.2 P.133-156",Academia Koreana,2020.12,Kim Naesong/Kim Naesŏng
91,Fiction,김녕희,Kim Nyong-Hui,The Roar Of Waves, ,"Korean Literature Today, V.6 No.2, P.78",International P.E.N,2001.0,Kim Nyong Hui/Kim Nyong-Hui
92,Fiction,김동리,Kim Tong-ni, ,Sol Sun-Bong,The Cross Of Shaphan,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
93,Fiction,김동리,Kim Dong-ni, ,Sol Soonbong,The Cry Of The Magpies,Jimoondang,2002.0,Kim Dong ni/Kim Dong-ni
94,Fiction,김동리,Kim Tongni, ,"Bruce Fulton, Ju-Chan Fulton",The Post Horse Curse,M.E. Sharpe,1993.0,Kim Tongni
95,Fiction,김동리,Kim Dong-ni, ,Hyun Song Shin,The Shaman Sorceress,Kegan Paul International,1989.0,Kim Dong ni/Kim Dong-ni
96,Fiction,김동리,Kim Tong-ni, ,Sol Sun-Bong,Tungsin-Bul : Volume 107,Asia publishers,2015.0,Kim Tong ni/Kim Tong-ni
97,Fiction,김동리,Kim Tongni, ,Ahn Junghyo,Ulhwa The Shaman,Larchwood Publications Ltd.,1979.0,Kim Tongni
98,Fiction,김동리,Kim Tong-ni,A Descendant Of The Hwarang,"Kim Chong-Un, Bruce Fulton",A Ready - Made Life,University of Hawaii Press,1998.0,Kim Tong ni/Kim Tong-ni
99,Fiction,김동리,Kim Tong-ni,A Descendant Of The Hwarang, ,"Korean Literature Today, V.2 No.2, P.25",International P.E.N,1997.0,Kim Tong ni/Kim Tong-ni
100,Fiction,김동리,Kim Tongni,Father And Son,Kim Chong-Un,Postwar Korean Short Stories,Seoul National University Press & The Center for Korean Studies at the University of Hawaii,1983.0,Kim Tongni
101,Fiction,김동리,Kim Tong-ni,Loess Valley,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
102,Fiction,김동리,Kim Tong-ni,Loess Valley (1939),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
103,Fiction,김동리,Kim Tong-ni,Loess Valley (1939),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
104,Fiction,김동리,Kim Dong-Ni,Picture Of A Shaman Sorceress, ,"Korean Literature Today, V.5 No.3, P.39",International P.E.N,2000.0,Kim Dong Ni/Kim Dong-Ni
105,Fiction,김동리,Kim Dong-ni,Picture Of A Shaman Sorceress, ,Modern Far Eastern Stories,Heinemann,1978.0,Kim Dong ni/Kim Dong-ni
106,Fiction,김동리,Kim Dong-ni,Picture Of A Shaman Sorceress,Chung Chong-Wha,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kim Dong ni/Kim Dong-ni
107,Fiction,김동리,Kim Tong-li,Picture Of A Sorceress,Hong Myoung-Hee,Korean Short Stories,Il Ji Sa,1975.0,Kim Tong li/Kim Tong-li
108,Fiction,김동리,Kim Tongni,Portrait Of A Shaman,Kim Yongch'ŎL,Flowers Of Fire: Twentieth-Century Korean Stories,The University Press of Hawaii,1974.0,Kim Tongni
109,Fiction,김동리,Kim Tong-in,Potatoes,Kevin O'Rourke,A Washed-Out Dream,Larchwood Publications Ltd.,1980.0,Kim Tong in/Kim Tong-in
110,Fiction,김동리,Kim Dong-ni,The Crag,Chung Chong-Hwa,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kim Dong ni/Kim Dong-ni
111,Fiction,김동리,Kim Tong-ni,The Cry Of Magpies,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
112,Fiction,김동리,Kim Dong-ni,The Marsh,Chung Chong-Wha,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kim Dong ni/Kim Dong-ni
113,Fiction,김동리,Kim Tongni,The Post Horse Curse,Marshall R. Phil,Land Of Exile: Contemporary Korean Fiction,M.E. Sharpe,1993.0,Kim Tongni
114,Fiction,김동리,Kim Tong-ni,The Rock,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
115,Fiction,김동리,Kim Tong-ni,The Rock,Kevin O'Rourke,Ten Korean Short Stories,Yonsei University Press,1981.0,Kim Tong ni/Kim Tong-ni
116,Fiction,김동리,Kim Tongni,The Shaman Painting, ,Modern Korean Fiction: An Anthology,Columbia University Press,2005.0,Kim Tongni
117,Fiction,김동리,Kim Tong-ni,The Shaman Painting (1936),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
118,Fiction,김동리,Kim Tong-ni,The Shaman Painting (1936),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
119,Fiction,김동리,Kim Dong-ni,The Shaman Paiting, ,Modern Far Eastern Stories,Heinemann,1978.0,Kim Dong ni/Kim Dong-ni
120,Fiction,김동리,Kim Tong-ni,The Tableau Of A Shaman Sorceress,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
121,Fiction,김동리,Kim Tong-ni,The Visit (1951),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
122,Fiction,김동리,Kim Tong-ni,Tungsin-Bul,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
123,Fiction,김동리,Kim Tong-ni,Two Reservists,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
124,Fiction,김동리,Kim Dongni,Two Reservists,Chung Chong-Hwa,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kim Dongni
125,Fiction,김동리,Kim Dongni,Two Reservists,Chung Chong-Hwa,Modern Short Stories From Korea,Heinemann Educational Books,1980.0,Kim Dongni
126,Fiction,김동인,Kim Dong-In, ,Stephen Epstein,Clear Commandments,Literature Translation Institute of Korea*,2014.0,Kim Dong In/Kim Dong-In
127,Fiction,김동인,Kim Dong-In, ,Stephen Epstein,Lashing: Notes From A Prison Journal,Literature Translation Institute of Korea*,2013.0,Kim Dong In/Kim Dong-In
128,Fiction,김동인,Kim Dong-In, ,Stephen Epstein,Our Toes Are Alike,Literature Translation Institute of Korea*,2014.0,Kim Dong In/Kim Dong-In
129,Fiction,김동인,Kim Tong-In, ,Kevin O'Rourke,Potatoes : Volume 086,Asia publishers,2014.0,Kim Tong In/Kim Tong-In
130,Fiction,김동인,Kim Tongin, ,Grace Jung,Sweet Potato: Collected Short Stories By Kim Tongin,Honford Star,2017.0,Kim Tongin
131,Fiction,김동인,Kim Dong-In, ,Stephen Epstein,Tale Of A Mad Painter,Literature Translation Institute of Korea*,2013.0,Kim Dong In/Kim Dong-In
132,Fiction,김동인,"Kim, Dong-in",Bare Hills,Hong Myoung-Hee,Korean Short Stories,Il Ji Sa,1975.0,"Kim, Dong in/Kim, Dong-in"
133,Fiction,김동인,Kim Tongin,Potato,"Charles Rosenberg, Peter H. Lee",Flowers Of Fire: Twentieth-Century Korean Stories,The University Press of Hawaii,1974.0,Kim Tongin
134,Fiction,김동인,Kim Tongin,Potatoes, ,Modern Korean Fiction: An Anthology,Columbia University Press,2005.0,Kim Tongin
135,Fiction,김동인,Kim Tong-in,Potatoes,Kevin O'Rourke,Ten Korean Short Stories,Yonsei University Press,1981.0,Kim Tong in/Kim Tong-in
136,Fiction,김동인,Kim Tong-in,The Photograph And The Letter,"Kim Chong-Un, Bruce Fulton",A Ready - Made Life,University of Hawaii Press,1998.0,Kim Tong in/Kim Tong-in
137,Fiction,김동인,Kim Dongin,The Post Horse,Chong Jong-Wha,Meetings And Farewells: Modern Korean Stories,University of Queensland Press,1980.0,Kim Dongin
138,Fiction,김동인,Kim Tong-in,The Potatoes,Chin In-Sook,Modern Korean Short Stories And Plays,"Korean Centre, International P.E.N.",1970.0,Kim Tong in/Kim Tong-in
139,Fiction,김동인,Kim Tongin,The Red Hills: A Doctor's Diary,W. E. Skillend,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kim Tongin
140,Fiction,김동인,Kim Tong-In,The Red Hills: A Doctor's Diary,W. E. Skillend,Modern Short Stories From Korea,Heinemann Educational Books,1980.0,Kim Tong In/Kim Tong-In
141,Fiction,김동인,Kim Dongin,The Rock,Chong Jong-Wha,Meetings And Farewells: Modern Korean Stories,University of Queensland Press,1980.0,Kim Dongin
142,Fiction,김동인,Kim Dong-in,The Seaman's Chant,Suh Ji-Moon,The Rainy Spell And Other Korean Stories,Onyx Press,1983.0,Kim Dong in/Kim Dong-in
143,Fiction,김동인,Kim Dong-in,The Seaman's Chant,Suh Ji-Moon,The Rainy Spell And Other Korean Stories,M.E. Sharpe,1998.0,Kim Dong in/Kim Dong-in
144,Fiction,김동인,Kim Tong-in,The World Created By Self,Jae-Yon Lee,"Acta Koreana, V.16 No.1 P.257-260",Academia Koreana,2013.06,Kim Tong in/Kim Tong-in
145,Fiction,김려령,Kim Ryeoryeong, , ,Elegant Lies,Sample translation available at DLKL*,2009.0,Kim Ryeoryeong
146,Fiction,김명순,Kim Myŏng-sun,A Girl Of Mystery (1917),Kim Yung-Hee,Questioning Minds: Short Stories By Modern Korean Women Writers,University of Hawaii Press,2010.0,Kim Myong sun/Kim Myong-sun/Kim Myŏng-sun
147,Fiction,김문수,Kim Moon Soo, ,Chun Kyun-Ja,The Chronicle Of Manchwidang,Jimoondang,2003.0,Kim Moon Soo
148,Fiction,김문수,Kim Munsu,Boiled Cat,"Daniel Jacinto, Bruce Fulton, Ju-Chan Fulton","Acta Koreana, V.22 No.1 P.143-175",Academia Koreana,2019.06,Kim Munsu
149,Fiction,김문수,Kim Moon-Soo,The Chronicle Of Manch'Uidang, ,"Korean Literature Today, V.3 No.3 P.57","Korean Centre, International P.E.N.",1998.0,Kim Moon Soo/Kim Moon-Soo
150,Fiction,김미월,Kim Mi-wol,Stories Seoul Told Me ― Seoul, ,"Storytelling Asia, V.8 No.4, P.151",Asia Publishing Co,2013.0,Kim Mi wol/Kim Mi-wol
151,Fiction,김민숙,Kim Min-suk,Scarlet Fingernails,"Bruce Fulton, Ju-Chan Fulton",Wayfarer: New Fiction By Korean Women,Women in Translation,1997.0,Kim Min suk/Kim Min-suk
