,GENRE,authorKorean,authorEnglish,workTitle,workTitleKorean,translator,sourceTitle,publisher,yearCreated,ISBN,authorEnglish2
262,Fiction,주요섭,Chu Yosŏp,Mama and the Boarder,사랑손님과 어머니,"Kim Chong-un,Bruce Fulton",The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Chu Yosop/Chu Yosŏp
263,Fiction,이문열,Yi Munyŏl,The Old Hatter,사라진 것들을 위하여,Suh Ji-Moon,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Yi Munyol/Yi Munyŏl
264,Fiction,김태용,Kim Taeyong,Pig on Grass,풀밭 위의 돼지,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Kim Taeyong
265,Fiction,박태원,Pak T'aewŏn,A Day in the Life of kubo the Novelist,소설가 구보씨의 일일,Sunyoung Park (in collaboration with Jefferson J. A. Gatrall and Kevin O'Rourke),The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Pak T'aewon/Pak T'aewŏn
266,Fiction,김유정,Kim Yujŏng,Spicebush Blossoms,동백꽃,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Kim Yujong/Kim Yujŏng
267,Fiction,최윤,Ch'oe Yun,The Last of Hanak'o,하나코는 없다,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Ch'oe Yun
268,Fiction,홍석중,Hong Sŏkchung,A chapter from Hwang Chini,황진이,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Hong Sokchung/Hong Sŏkchung
269,Fiction,천운영,Ch'ŏn Unyŏng,Needlework,바늘,"Na-young Bae,Bruce Fulton",The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Ch'on Unyong/Ch'ŏn Unyŏng
270,Fiction,황순원,Hwang Sunwŏn,Time for You and Me,나와 나만의 시간,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Hwang Sunwon/Hwang Sunwŏn
271,Fiction,박완서,Pak Wansŏ,Winter Outing,겨울 나들이,Marshall R. Pihl,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Pak Wanso/Pak Wansŏ
272,Fiction,조정래,Cho Chŏngnae,Land of Exile,유형의 땅,Marshall R. Pihl,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Cho Chongnae/Cho Chŏngnae
273,Fiction,이상,Yi Sang,Wings,날개,Kevin O'Rourke,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Yi Sang
274,Fiction,김승옥,Kim Sŭngok,Seoul: Winter 1964,"서울, 1964년 겨울",Marshall R. Pihl,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Kim Sungok/Kim Sŭngok
275,Fiction,오정희,O Chŏnghŭi,Wayfarer,순례자의 노래,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,O Chonghui/O Chŏnghŭi
276,Fiction,신경숙,Shin Kyung-Sook ,House on the Prairie,벌판 위의 빈 집,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Shin Kyung Sook /Shin Kyung-Sook 
277,Fiction,편혜영,P'yŏn Hyeyŏng,The First Anniversary,첫번째 기념일,"Cindy Chen,Bruce and Ju-Chan Fulton",The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,P'yon Hyeyong/P'yŏn Hyeyŏng
278,Fiction,최수철,Choi Suchol,River Dark,river dark,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Choi Suchol
279,Fiction,최인호,Ch'oe Inho,The Popular Tree,포플러 나무,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Ch'oe Inho
280,Fiction,황정은,Hwang Chŏngŭn,The Bone Thief,뼈도둑,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Hwang Chongun/Hwang Chŏngŭn
281,Fiction,정영문,Jung Young Moon,Home on the Range,양떼목장,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Jung Young Moon
282,Fiction,김중혁,Kim Chunghyŏk,The Glass Shield,유리방패,Kevin O'Rourke,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Kim Chunghyok/Kim Chunghyŏk
283,Fiction,한유주,Han Yujoo,Black-and-White Photographer,흑백사진사,Janet Hong,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Han Yujoo
284,Fiction,김애란,Kim Aeran,The Future of Silence,침묵의 노래,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin,2023,9780241448489,Kim Aeran
285,Fiction,이효석,Yi Hyosŏk,When the Buckwheat Blooms,메밀꽃 필 무렵,"Kim Chong-un,Bruce Fulton",The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Yi Hyosok/Yi Hyosŏk
286,Fiction,채만식,Ch'ae Manshik,A Man called Hŭngbo,흥보씨,"Ross King, Bruce and Ju-Chan Fulton",The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Ch'ae Manshik
287,Fiction,주요섭,Chu Yosŏp,Mama and the Boarder,사랑손님과 어머니,"Kim Chong-un,Bruce Fulton",The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Chu Yosop/Chu Yosŏp
288,Fiction,이문열,Yi Munyŏl,The Old Hatter,사라진 것들을 위하여,Suh Ji-Moon,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Yi Munyol/Yi Munyŏl
289,Fiction,김태용,Kim Taeyong,Pig on Grass,풀밭 위의 돼지,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Kim Taeyong
290,Fiction,박태원,Pak T'aewŏn,A Day in the Life of kubo the Novelist,소설가 구보씨의 일일,Sunyoung Park (in collaboration with Jefferson J. A. Gatrall and Kevin O'Rourke),The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Pak T'aewon/Pak T'aewŏn
291,Fiction,김유정,Kim Yujŏng,Spicebush Blossoms,동백꽃,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Kim Yujong/Kim Yujŏng
292,Fiction,최윤,Ch'oe Yun,The Last of Hanak'o,하나코는 없다,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Ch'oe Yun
293,Fiction,홍석중,Hong Sŏkchung,A chapter from Hwang Chini,황진이,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Hong Sokchung/Hong Sŏkchung
294,Fiction,천운영,Ch'ŏn Unyŏng,Needlework,바늘,"Na-young Bae,Bruce Fulton",The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Ch'on Unyong/Ch'ŏn Unyŏng
295,Fiction,황순원,Hwang Sunwŏn,Time for You and Me,나와 나만의 시간,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Hwang Sunwon/Hwang Sunwŏn
296,Fiction,박완서,Pak Wansŏ,Winter Outing,겨울 나들이,Marshall R. Pihl,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Pak Wanso/Pak Wansŏ
297,Fiction,조정래,Cho Chŏngnae,Land of Exile,유형의 땅,Marshall R. Pihl,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Cho Chongnae/Cho Chŏngnae
298,Fiction,이상,Yi Sang,Wings,날개,Kevin O'Rourke,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Yi Sang
299,Fiction,김승옥,Kim Sŭngok,Seoul: Winter 1964,"서울, 1964년 겨울",Marshall R. Pihl,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Kim Sungok/Kim Sŭngok
300,Fiction,오정희,O Chŏnghŭi,Wayfarer,순례자의 노래,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,O Chonghui/O Chŏnghŭi
301,Fiction,신경숙,Shin Kyung-Sook,House on the Prairie,벌판 위의 빈 집,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Shin Kyung Sook/Shin Kyung-Sook
302,Fiction,편혜영,P'yŏn Hyeyŏng,The First Anniversary,첫번째 기념일,"Cindy Chen,Bruce and Ju-Chan Fulton",The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,P'yon Hyeyong/P'yŏn Hyeyŏng
303,Fiction,최수철,Choi Suchol,River Dark,river dark,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Choi Suchol
304,Fiction,최인호,Ch'oe Inho,The Popular Tree,포플러 나무,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Ch'oe Inho
305,Fiction,황정은,Hwang Chŏngŭn,The Bone Thief,뼈도둑,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Hwang Chongun/Hwang Chŏngŭn
306,Fiction,정영문,Jung Young Moon,Home on the Range,양떼목장,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Jung Young Moon
307,Fiction,김중혁,Kim Chunghyŏk,The Glass Shield,유리방패,Kevin O'Rourke,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Kim Chunghyok/Kim Chunghyŏk
308,Fiction,한유주,Han Yujoo,Black-and-White Photographer,흑백사진사,Janet Hong,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Han Yujoo
309,Fiction,김애란,Kim Aeran,The Future of Silence,침묵의 노래,Bruce and Ju-Chan Fulton,The Penguin Book of Korean Short Stories,Penguin*,2023,9780241448526,Kim Aeran
310,Graphic Novel,김금숙,Gendry-Kim Keum Suk ,The Naked Tree,나목,Janet Hong,,Drawn & Quarterly,2023,9781770466678,Gendry Kim Keum Suk /Gendry-Kim Keum Suk 
311,Graphic Novel,최규석,Choi Kyu-sok,100°C: South Korea's 1987 Democracy Movement,"100℃ : 뜨거운 기억, 6월민주항쟁","Madeline D. Collins, Gia Kim,Nguyen Thi Huong Ly,Jusun Park,Brooke Shelton,Anna Toombs,Theodore Jun Yoo",,University of Hawaii Press,2023,9780824893958,Choi Kyu sok/Choi Kyu-sok
312,Graphic Novel,최규석,Choi Kyu-sok,100°C: South Korea's 1987 Democracy Movement,"100℃ : 뜨거운 기억, 6월민주항쟁","Madeline D. Collins, Gia Kim,Nguyen Thi Huong Ly,Jusun Park,Brooke Shelton,Anna Toombs,Theodore Jun Yoo",,University of Hawaii Press*,2023,9780824894832,Choi Kyu sok/Choi Kyu-sok
313,Misc,권영민,Kwon Youngmin ,What is Korean literature?,한국문학이란 무엇인가,Bruce Fulton,,"Institute of East Asian Studies, University of California, Berkeley",2020,9781557291868,Kwon Youngmin 
314,Fiction,김혁,Kim Hyeok,Chunja’s Nanjing,춘자의 남경,Stella Kim,,Seoul Selection U.S.A.,2022,9781624121463,Kim Hyeok
315,Misc,"황석영,이재의,전용","Hwang Sok-yong,Lee Jae-eui,Jeon Yong-ho",Gwangju Uprising,죽음을 넘어 시대의 어둠을 넘어,Slin Jung,,Verso Books,2022,9781788737142,"Hwang Sok yong,Lee Jae eui,Jeon Yong ho/Hwang Sok-yong,Lee Jae-eui,Jeon Yong-ho"
316,Graphic Novel,홍연식,Hong Yeon-sik ,Umma's Table,마당씨의 식탁,Janet Hong,,Drawn & Quarterly,2020,9781770463868,Hong Yeon sik /Hong Yeon-sik 
317,Graphic Novel,홍연식,Hong Yeon-sik ,Umma's Table,마당씨의 식탁,Janet Hong,,Drawn & Quarterly*,2020,9781770465336,Hong Yeon sik /Hong Yeon-sik 
318,Graphic Novel,봉준호,Bong Joon Ho,PARASITE,,,,Grand Central Publishing,2020,9781538753255,Bong Joon Ho
319,Graphic Novel,김금숙,Gendry-Kim Keum Suk,The Waiting,기다림,Janet Hong,,Drawn & Quarterly,2021,9781770464575,Gendry Kim Keum Suk/Gendry-Kim Keum Suk
320,Graphic Novel,김금숙,Gendry-Kim Keum Suk,The Waiting,기다림,Janet Hong,,Drawn & Quarterly*,2021,9781770465718,Gendry Kim Keum Suk/Gendry-Kim Keum Suk
321,Misc,이현순,Lee Hyun-Soon ,Buckle Down,내 안에 잠든 엔진을 깨워라,Hannah Pang,,Harriett Press,2020,9789811449512,Lee Hyun Soon /Lee Hyun-Soon 
322,Graphic Novel,마영신,Ma Yeong-shin ,Moms,엄마들,Janet Hong,,Drawn & Quarterly,2020,9781770464001,Ma Yeong shin /Ma Yeong-shin 
323,Graphic Novel,마영신,Ma Yeong-shin ,Moms,엄마들,Janet Hong,,Drawn & Quarterly*,2021,9781770465190,Ma Yeong shin /Ma Yeong-shin 
324,Graphic Novel,앙꼬,Ancco,Nineteen,열아홉,Janet Hong,,Drawn & Quarterly,2020,9781770464100,Ancco
325,Graphic Novel,마영신,Ma Yeong-shin ,Artist,아티스트1-2,Janet Hong,,Drawn and Quarterly,2022,9781770466173,Ma Yeong shin /Ma Yeong-shin 
